Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
Parvez Hossain Emon|||||||||||BAN
Parvez Rasool|1|4|0|32|1|32|8|24|0|0|India
Pramod Madushan|8|26.1|0|226|12|18.8333333333333|8.63694267515924|13.0833333333333|1|0|Sri Lanka
Q de Kock|||||||||||South Africa
Qais Ahmad|10|32|0|221|16|13.8125|6.90625|12|0|0|Afghanistan
Qasim Akram|2|3.5|0|23|3|7.66666666666667|6|7.66666666666667|0|0|Pakistan
R Ashwin|65|242|3|1672|72|23.2222222222222|6.90909090909091|20.1666666666667|2|0|India
R Dhawan|1|4|0|42|1|42|10.5|24|0|0|India
R Dravid|||||||||||India
R Frylinck|3|10|0|62|5|12.4|6.2|12|0|0|South Africa
R McLaren|12|43.5|0|332|17|19.5294117647059|7.57414448669202|15.4705882352941|0|1|South Africa
R Mondol|3|7|1|60|4|15|8.57142857142857|10.5|0|0|BAN
R Powell|13|20.5|0|206|5|41.2|9.888|25|0|0|West Indies
R Rampaul|27|95.5|1|803|31|25.9032258064516|8.37913043478261|18.5483870967742|0|0|West Indies
R Ravindra|13|37|0|247|11|22.4545454545455|6.67567567567568|20.1818181818182|0|0|New Zealand
R Sai Kishore|3|12|0|63|4|15.75|5.25|18|0|0|India
R Sharma|2|7.2|0|56|3|18.6666666666667|7.63636363636364|14.6666666666667|0|0|India
R Sharma|5|11|0|103|2|51.5|9.36363636363636|33|0|0|India
R Shepherd|35|113.4|0|1115|40|27.875|9.80938416422287|17.05|1|0|West Indies
R Telemachus|3|12|0|90|2|45|7.5|36|0|0|South Africa
R Vinay Kumar|9|31.3|0|247|10|24.7|7.84126984126984|18.9|0|0|India
RA Jadeja|66|215|4|1523|53|28.7358490566038|7.08372093023256|24.3396226415094|0|0|India
RA Reifer|2|5|0|60|1|60|12|30|0|0|West Indies
RA Tripathi|||||||||||India
RAS Lakmal|11|34.4|0|330|8|41.25|9.51923076923077|26|0|0|Sri Lanka
RD Chahar|6|22|0|167|7|23.8571428571429|7.59090909090909|18.8571428571429|0|0|India
RD Gaikwad|||||||||||India
RD Rickelton|||||||||||South Africa
RE Levi|||||||||||South Africa
RG Sharma|9|11.2|0|113|1|113|9.97058823529412|68|0|0|India
RJ Gleeson|6|21|1|187|9|20.7777777777778|8.90476190476191|14|0|0|England
RJ Harris|3|11.4|1|95|4|23.75|8.14285714285714|17.5|0|0|Australia
RJ Kirtley|1|1|0|17|0|Inf|17|Inf|0|0|England
RJ Nicol|13|20.3|0|167|5|33.4|8.14634146341463|24.6|0|0|New Zealand
RJ Peterson|19|59.5|1|451|24|18.7916666666667|7.53760445682451|14.9583333333333|0|0|South Africa
RJ Sidebottom|18|61.1|0|437|23|19|7.14441416893733|15.9565217391304|0|0|England
RJMGM Rupasinghe|||||||||||Sri Lanka
RJW Topley|26|93|0|776|31|25.0322580645161|8.34408602150538|18|0|0|England
RK Kleinveldt|6|20.2|1|173|9|19.2222222222222|8.50819672131148|13.5555555555556|0|0|South Africa
RK Singh|||||||||||India
RL Chase|12|40.2|0|264|11|24|6.54545454545455|22|0|0|West Indies
RLB Rambukwella|2|6.3|0|46|1|46|7.07692307692308|39|0|0|Sri Lanka
RM Hira|13|42.2|1|337|10|33.7|7.96062992125984|25.4|0|0|New Zealand
RMS Eranga|3|11|0|90|3|30|8.18181818181818|22|0|0|Sri Lanka
RN Lewis|1|1|0|9|0|Inf|9|Inf|0|0|West Indies
RP Arnold|||||||||||Sri Lanka
RP Meredith|5|18.5|0|188|8|23.5|9.98230088495575|14.125|0|0|Australia
RP Singh|9|33|0|225|15|15|6.81818181818182|13.2|1|0|India
RR Emrit|4|16|0|156|4|39|9.75|24|0|0|West Indies
RR Hendricks|3|4.5|0|58|0|Inf|12|Inf|0|0|South Africa
RR Pant|||||||||||India
RR Rossouw|||||||||||South Africa
RR Sarwan|1|2|0|10|2|5|5|6|0|0|West Indies
RS Bopara|21|53.4|1|387|16|24.1875|7.2111801242236|20.125|1|0|England
RS Fernando|1|1|0|17|0|Inf|17|Inf|0|0|Sri Lanka
RS Morton|||||||||||West Indies
RT Ponting|||||||||||Australia
RTM Mendis|2|4|0|22|1|22|5.5|24|0|0|Sri Lanka
RV Uthappa|||||||||||India
RWT Key|||||||||||England
Raees Ahmadzai|||||||||||Afghanistan
Rafatullah Mohmand|||||||||||Pakistan
Rahmanullah Gurbaz|||||||||||Afghanistan
Rahmat Shah|||||||||||Afghanistan
Rakibul Hasan|7|23|2|147|8|18.375|6.39130434782609|17.25|0|0|BAN
Rakibul Hasan|3|7|0|55|2|27.5|7.85714285714286|21|0|0|BAN
Rameez Raja (2)|||||||||||Pakistan
Raqibul Hasan|||||||||||BAN
Rashid Khan|2|7|0|67|1|67|9.57142857142857|42|0|0|Afghanistan
Ravi Bishnoi|24|93.4|0|703|36|19.5277777777778|7.50533807829182|15.6111111111111|1|0|India
Raza Hasan|10|38|1|219|10|21.9|5.76315789473684|22.8|0|0|Pakistan
