Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
Tanvir Ahmed|1|3|0|13|1|13|4.33333333333333|18|0|0|Pakistan
Tanvir Islam|4|9|0|69|2|34.5|7.66666666666667|27|0|0|BAN
Tanzid Hasan|||||||||||BAN
Tanzim Hasan Sakib|8|30|1|225|8|28.125|7.5|22.5|0|0|BAN
Taskin Ahmed|61|218.4|3|1631|68|23.9852941176471|7.45884146341463|19.2941176470588|2|0|BAN
Tayyab Tahir|||||||||||Pakistan
Towhid Hridoy|||||||||||BAN
UT Khawaja|||||||||||Australia
UT Yadav|9|30|0|280|12|23.3333333333333|9.33333333333333|15|0|0|India
UWMBCA Welegedara|2|6|0|61|1|61|10.1666666666667|36|0|0|Sri Lanka
Umar Akmal|||||||||||Pakistan
Umar Amin|||||||||||Pakistan
Umar Gul|60|200.3|2|1443|85|16.9764705882353|7.19700748129676|14.1529411764706|4|2|Pakistan
Umran Malik|8|23.1|0|243|11|22.0909090909091|10.4892086330935|12.6363636363636|0|0|India
Usama Mir|5|20|1|175|5|35|8.75|24|0|0|Pakistan
Usman Ghani|||||||||||Afghanistan
Usman Khan|17|51.2|1|348|23|15.1304347826087|6.77922077922078|13.3913043478261|1|0|Pakistan
Usman Khan|||||||||||Pakistan
Usman Qadir|21|72|0|573|31|18.4838709677419|7.95833333333333|13.9354838709677|1|0|Pakistan
Usman Shinwari|16|51|0|424|13|32.6153846153846|8.31372549019608|23.5384615384615|0|0|Pakistan
V Kohli|13|25.2|0|204|4|51|8.05263157894737|38|0|0|India
V Permaul|1|0.3|0|8|0|Inf|16|Inf|0|0|West Indies
V Sehwag|1|1|0|20|0|Inf|20|Inf|0|0|India
V Shankar|6|21|0|191|5|38.2|9.09523809523809|25.2|0|0|India
V Viyaskanth|1|4|0|28|1|28|7|24|0|0|Sri Lanka
VB van Jaarsveld|||||||||||South Africa
VD Philander|6|13.5|0|114|4|28.5|8.24096385542169|20.75|0|0|South Africa
VR Iyer|4|9.1|0|75|5|15|8.18181818181818|11|0|0|India
VS Solanki|||||||||||England
W O'Rourke|3|12|0|85|4|21.25|7.08333333333333|18|0|0|New Zealand
WA Young|||||||||||New Zealand
WD Parnell|55|182.2|4|1513|59|25.6440677966102|8.29798903107861|18.5423728813559|1|1|South Africa
WG Jacks|3|3|0|41|1|41|13.6666666666667|18|0|0|England
WIA Fernando|||||||||||Sri Lanka
WJ Lubbe|||||||||||South Africa
WKD Perkins|||||||||||West Indies
WPUJC Vaas|6|22|1|128|6|21.3333333333333|5.81818181818182|22|0|0|Sri Lanka
WU Tharanga|||||||||||Sri Lanka
WW Hinds|||||||||||West Indies
Wafadar Momand|2|5.1|0|65|0|Inf|12.5806451612903|Inf|0|0|Afghanistan
Wahab Riaz|35|118.2|2|971|34|28.5588235294118|8.2056338028169|20.8823529411765|0|0|Pakistan
Waqas Maqsood|1|1.5|0|21|2|10.5|11.4545454545455|5.5|0|0|Pakistan
Washington Sundar|41|134.3|1|968|34|28.4705882352941|7.19702602230483|23.7352941176471|0|0|India
XC Bartlett|1|4|0|37|2|18.5|9.25|12|0|0|Australia
XJ Doherty|11|38|0|300|10|30|7.89473684210526|22.8|0|0|Australia
Y Cariah|2|6|0|43|1|43|7.16666666666667|36|0|0|West Indies
YA Abdulla|2|7|0|44|2|22|6.28571428571429|21|0|0|South Africa
YBK Jaiswal|1|1|0|11|0|Inf|11|Inf|0|0|India
YK Pathan|17|50.5|0|438|13|33.6923076923077|8.61639344262295|23.4615384615385|0|0|India
YS Chahal|79|294|2|2409|96|25.09375|8.19387755102041|18.375|2|1|India
Yamin Ahmadzai|2|7.1|0|65|5|13|9.06976744186047|8.6|0|0|Afghanistan
Yasir Ali|25|75.4|0|475|28|16.9642857142857|6.27753303964758|16.2142857142857|0|0|BAN
Yasir Ali|||||||||||BAN
Yasir Arafat|13|39.2|0|316|16|19.75|8.03389830508475|14.75|0|0|Pakistan
Yasir Shah|2|4|0|39|0|Inf|9.75|Inf|0|0|Pakistan
Younis Khan|1|3.4|0|18|3|6|4.90909090909091|7.33333333333333|0|0|Pakistan
Yuvraj Singh|31|70.4|0|499|28|17.8214285714286|7.06132075471698|15.1428571428571|0|0|India
Z Khan|17|58.4|0|448|17|26.3529411764706|7.63636363636364|20.7058823529412|1|0|India
ZGF Foulkes|2|8|0|74|1|74|9.25|48|0|0|New Zealand
Zahid Mahmood|1|4|0|40|3|13.3333333333333|10|8|0|0|Pakistan
Zahir Khan|3|8|0|50|3|16.6666666666667|6.25|16|0|0|Afghanistan
Zakir Hasan|||||||||||BAN
Zaman Khan|10|31.3|0|236|7|33.7142857142857|7.49206349206349|27|0|0|Pakistan
Zamir Khan|1|4|0|26|1|26|6.5|24|0|0|Afghanistan
Ziaur Rahman|7|12.3|0|127|3|42.3333333333333|10.16|25|0|0|Afghanistan
Ziaur Rahman|7|12.3|0|127|3|42.3333333333333|10.16|25|0|0|BAN
Ziaur Rahman|1|4|0|42|2|21|10.5|12|0|0|Afghanistan
Ziaur Rahman|1|4|0|42|2|21|10.5|12|0|0|BAN
Zubaid Akbari|||||||||||Afghanistan
Zulfiqar Babar|7|26|1|185|12|15.4166666666667|7.11538461538462|13|0|0|Pakistan
Zulqarnain Haider|11|28|0|151|8|18.875|5.39285714285714|21|0|0|Pakistan
Zulqarnain Haider|||||||||||Pakistan
